Nro,Nodo,Coord_X,Coord_Y,Tipo_Nodos
1,1,331380,344490,NP
2,2,331390,346720,NS
3,3,331400,348950,NP
4,4,333590,343770,NS
5,5,332615,345442.5,NS
6,6,332625,347672.5,NS
7,7,333205,349300,NS
8,8,335800,343050,NP
9,9,334825,344722.5,NS
10,10,333850,346395,NP
11,11,334430,348022.5,NS
12,12,335010,349650,NP
13,13,337525,342475,NS
14,14,336522.5,344322.5,NS
15,15,335547.5,345995,NS
16,16,336025,347025,NS
17,17,336605,348652.5,NS
18,18,336730,350250,NS
19,19,339250,341900,NP
20,20,338247.5,343747.5,NS
21,21,337245,345595,NP
22,22,337722.5,346625,NS
23,23,338200,347655,NP
24,24,338325,349252.5,NS
25,25,338450,350850,NP
26,26,340462.5,342310,NS
27,27,339700,343200,NS
28,28,338697.5,345047.5,NS
29,29,338377.5,346245,NS
30,30,338855,347275,NS
31,31,339912.5,348002.5,NS
32,32,340037.5,349600,NS
33,33,339762.5,351450,NS
34,34,341675,342720,NP
35,35,340912.5,343610,NS
36,36,340150,344500,NP
37,37,339830,345697.5,NS
38,38,339510,346895,NP
39,39,340567.5,347622.5,NS
40,40,341625,348350,NP
41,41,341350,350200,NS
42,42,341075,352050,NP
43,43,340925,344550,NS
44,44,340605,345747.5,NS
45,45,341687.5,343660,NS
46,46,341700,344600,NP
47,47,341662.5,346475,NS
48,48,342437.5,349700,NS
49,49,342162.5,351550,NS
50,50,342837.5,343090,NS
51,51,342850,344030,NS
52,52,343037.5,345030,NS
53,53,342600,346200,NS
54,54,342562.5,348075,NS
55,55,343250,351050,NP
56,56,344000,343460,NP
57,57,344187.5,344460,NS
58,58,344375,345460,NP
59,59,343937.5,346630,NS
60,60,343500,347800,NP
61,61,343375,349425,NS
62,62,345437.5,343930,NS
63,63,345625,344930,NS
64,64,345087.5,346142.5,NS
65,65,344650,347312.5,NS
66,66,344625,349200,NS
67,67,344500,350825,NS
68,68,346875,344400,NP
69,69,346337.5,345612.5,NS
70,70,345800,346825,NP
71,71,345775,348712.5,NS
72,72,345750,350600,NP
73,73,348462.5,344125,NS
74,74,347987.5,345950,NS
75,75,347450,347162.5,NS
76,76,347425,349050,NS
77,77,347820,350950,NS
78,78,350050,343850,NP
79,79,350000,345150,NS
80,80,349100,347500,NP
81,81,349495,349400,NS
82,82,349890,351300,NP
83,83,352250,343675,NS
84,84,351587.5,344875,NS
85,85,351112.5,346700,NS
86,86,350100,348625,NS
87,87,350495,350525,NS
88,88,351775,352210,NS
89,89,354450,343500,NP
90,90,353787.5,344700,NS
91,91,353125,345900,NP
92,92,352112.5,347825,NS
93,93,351100,349750,NP
94,94,352380,351435,NS
95,95,353660,353120,NP
96,96,357825,343325,NS
97,97,355277.5,345875,NS
98,98,354615,347075,NS
99,99,353602.5,349000,NS
100,100,354882.5,350685,NS
101,101,356755,353585,NS
102,102,361200,343150,NP
103,103,358652.5,345700,NS
104,104,356105,348250,NP
105,105,363050,344500,NS
106,106,360502.5,347050,NS
107,107,359152.5,349325,NS
108,108,357930,351760,NS
109,109,364900,345850,NP
110,110,363550,348125,NS
111,111,362200,350400,NP
112,112,361025,352225,NS
113,113,359850,354050,NP
