Nro,Nodo,Coord_X,Coord_Y,Tipo_Nodos
1,1,334720,318420,NP
2,2,334710,320920,NS
3,3,334700,323420,NP
4,4,334700,327585,NS
5,5,334700,331750,NP
6,6,334710,333885,NS
7,7,334720,336020,NP
8,8,334720,338910,NS
9,9,334720,341800,NP
10,10,336735,318610,NS
11,11,336725,321110,NS
12,12,337350,323210,NS
13,13,337350,325460,NS
14,14,337350,329625,NS
15,15,337350,333625,NS
16,16,337360,335760,NS
17,17,337360,338650,NS
18,18,338485,340312.5,NS
19,19,338860,342400,NS
20,20,338750,318800,NP
21,21,339375,320900,NS
22,22,340000,323000,NP
23,23,340000,325250,NS
24,24,340000,327500,NP
25,25,340000,331500,NS
26,26,340000,335500,NP
27,27,341125,337162.5,NS
28,28,342250,338825,NP
29,29,342625,340912.5,NS
30,30,343000,343000,NP
31,31,341195,318600,NS
32,32,341820,320700,NS
33,33,343075,323100,NS
34,34,343075,325350,NS
35,35,343100,328275,NS
36,36,343100,332275,NS
37,37,342950,335000,NS
38,38,343710,336100,NS
39,39,344835,337762.5,NS
40,40,345210,339850,NS
41,41,344930,343700,NS
42,42,343640,318400,NP
43,43,344895,320800,NS
44,44,346150,323200,NP
45,45,346175,326125,NS
46,46,346200,329050,NP
47,47,346050,331775,NS
48,48,345900,334500,NP
49,49,346660,335600,NS
50,50,347420,336700,NP
51,51,347140,340550,NS
52,52,346860,344400,NP
53,53,347190,318100,NS
54,54,348445,320500,NS
55,55,348375,323725,NS
56,56,347475,325040,NS
57,57,347500,327965,NS
58,58,347650,329575,NS
59,59,347500,332300,NS
60,60,347700,333980,NS
61,61,348460,335080,NS
62,62,349510,337775,NS
63,63,349230,341625,NS
64,64,350650,343950,NS
65,65,350740,317800,NP
66,66,350670,321025,NS
67,67,350600,324250,NP
68,68,349700,325565,NS
69,69,348800,326880,NP
70,70,348950,328490,NS
71,71,349100,330100,NP
72,72,349300,331780,NS
73,73,349500,333460,NP
74,74,350550,336155,NS
75,75,351600,338850,NP
76,76,353020,341175,NS
77,77,354440,343500,NP
78,78,353540,317960,NS
79,79,353370,319810,NS
80,80,353300,323035,NS
81,81,352620,325545,NS
82,82,350800,325525,NS
83,83,349900,326840,NS
84,84,350050,328450,NS
85,85,350425,330600,NS
86,86,350625,332280,NS
87,87,350500,333655,NS
88,88,351550,336350,NS
89,89,353700,336800,NS
90,90,353800,339025,NS
91,91,355220,341350,NS
92,92,357145,342250,NS
93,93,356340,318120,NP
94,94,356170,319970,NS
95,95,356000,321820,NP
96,96,355320,324330,NS
97,97,354640,326840,NP
98,98,352820,326820,NS
99,99,351000,326800,NP
100,100,351375,328950,NS
101,101,351750,331100,NP
102,102,351625,332475,NS
103,103,351500,333850,NP
104,104,353650,334300,NS
105,105,355800,334750,NP
106,106,355900,336975,NS
107,107,356000,339200,NP
108,108,357925,340100,NS
109,109,359850,341000,NP
110,110,359170,317710,NS
111,111,358145,320260,NS
112,112,357975,322110,NS
113,113,357295,324620,NS
114,114,356820,328270,NS
115,115,354045,328620,NS
116,116,352225,328600,NS
117,117,352600,330750,NS
118,118,352475,332125,NS
119,119,353450,330400,NP
120,120,354625,332575,NS
121,121,356225,330050,NS
122,122,357400,332225,NS
123,123,358975,333550,NS
124,124,358400,335875,NS
125,125,358500,338100,NS
126,126,360425,339000,NS
127,127,362925,339500,NS
128,128,362000,317300,NP
129,129,360975,319850,NS
130,130,359950,322400,NP
131,131,359475,326050,NS
132,132,359000,329700,NP
133,133,360575,331025,NS
134,134,362150,332350,NP
135,135,361575,334675,NS
136,136,361000,337000,NP
137,137,363500,337500,NS
138,138,366000,338000,NP
139,139,366000,317730,NS
140,140,365500,319450,NS
141,141,364475,322000,NS
142,142,361250,324575,NS
143,143,360775,328225,NS
144,144,362350,329550,NS
145,145,365875,331600,NS
146,146,364075,335175,NS
147,147,367800,334425,NS
148,148,368050,337900,NS
149,149,370000,318160,NP
150,150,369500,319880,NS
151,151,369000,321600,NP
152,152,365775,324175,NS
153,153,362550,326750,NP
154,154,366075,328800,NS
155,155,369300,326225,NS
156,156,369600,330850,NP
157,157,369850,334325,NS
158,158,370100,337800,NP
