Nro,Nodo,Coord_X,Coord_Y,Tipo_Nodos
1,1,3431063.25,3532052.109,NP
2,2,3434882.545,3528310.793,NS
3,3,3438701.841,3524569.477,NP
4,4,3430386.201,3534172.568,NS
5,5,3432827.936,3534458.984,NS
6,6,3435604.843,3532052.109,NS
7,7,3439424.138,3528310.793,NS
8,8,3441002.802,3525651.675,NS
9,9,3443791.441,3522650.811,NS
10,10,3429709.152,3536293.027,NP
11,11,3432150.886,3536579.443,NS
12,12,3434592.621,3536865.86,NP
13,13,3437369.528,3534458.984,NS
14,14,3440146.436,3532052.109,NP
15,15,3441725.1,3529392.992,NS
16,16,3443303.764,3526733.874,NP
17,17,3446092.403,3523733.01,NS
18,18,3448881.041,3520732.146,NP
19,19,3454538.759,3515075.419,NS
20,20,3460196.478,3509418.692,NP
21,21,3427438.356,3539439.54,NS
22,22,3429977.29,3539151.496,NS
23,23,3432419.025,3539437.913,NS
24,24,3437532.087,3538658.404,NS
25,25,3440308.995,3536251.529,NS
26,26,3444233.869,3532336.898,NS
27,27,3445812.533,3529677.781,NS
28,28,3448601.172,3526676.917,NS
29,29,3451014.417,3525916.936,NS
30,30,3454463.346,3524508.45,NS
31,31,3460121.064,3518851.724,NS
32,32,3465894.417,3515474.124,NS
33,33,3425167.559,3542586.054,NP
34,34,3427706.494,3542298.01,NS
35,35,3430245.429,3542009.966,NP
36,36,3435358.491,3541230.457,NS
37,37,3440471.553,3540450.949,NP
38,38,3444396.428,3536536.318,NS
39,39,3448321.302,3532621.687,NP
40,40,3450734.547,3531861.707,NS
41,41,3453147.792,3531101.727,NP
42,42,3456596.721,3529693.241,NS
43,43,3460045.65,3528284.755,NP
44,44,3465819.003,3524907.155,NS
45,45,3471592.356,3521529.555,NP
46,46,3422647.059,3546949.024,NS
47,47,3426109.395,3546641.452,NS
48,48,3428648.33,3546353.408,NS
49,49,3432167.645,3545604.006,NS
50,50,3437280.707,3544824.497,NS
51,51,3440800.023,3544228.067,NS
52,52,3443829.986,3543215.845,NS
53,53,3447754.86,3539301.214,NS
54,54,3451704.873,3537947.245,NS
55,55,3454118.118,3537187.265,NS
56,56,3457567.047,3535778.779,NS
57,57,3463482.848,3533490.701,NS
58,58,3469256.201,3530113.101,NS
59,59,3475554.1,3527515.01,NS
60,60,3420126.559,3551311.994,NP
61,61,3423588.895,3551004.422,NS
62,62,3427051.231,3550696.85,NP
63,63,3430570.546,3549947.447,NS
64,64,3434089.862,3549198.045,NP
65,65,3437609.177,3548601.615,NS
66,66,3441128.492,3548005.185,NP
67,67,3444158.455,3546992.963,NS
68,68,3447188.418,3545980.741,NP
69,69,3451138.431,3544626.772,NS
70,70,3455088.443,3543272.803,NP
71,71,3461004.244,3540984.725,NS
72,72,3466920.046,3538696.647,NP
73,73,3473217.945,3536098.556,NS
74,74,3479515.843,3533500.465,NP
75,75,3419665.696,3556827.14,NS
76,76,3423270.481,3556457.728,NS
77,77,3426732.817,3556150.156,NS
78,78,3430252.132,3555400.753,NS
79,79,3436268.485,3554591.138,NS
80,80,3439787.801,3553994.709,NS
81,81,3444904.215,3553194.044,NS
82,82,3447934.178,3552181.822,NS
83,83,3451538.962,3551381.158,NS
84,84,3455488.975,3550027.188,NS
85,85,3459618.305,3548548.726,NS
86,86,3465534.106,3546260.648,NS
87,87,3471329.245,3543489.242,NS
88,88,3477627.144,3540891.151,NS
89,89,3483512.78,3537533.894,NS
90,90,3419204.834,3562342.286,NP
91,91,3422809.618,3561972.874,NS
92,92,3426414.402,3561603.462,NP
93,93,3432430.756,3560793.847,NS
94,94,3438447.109,3559984.232,NP
95,95,3443563.523,3559183.567,NS
96,96,3448679.937,3558382.903,NP
97,97,3452284.722,3557582.239,NS
98,98,3455889.506,3556781.574,NP
99,99,3460018.836,3555303.111,NS
100,100,3464148.166,3553824.649,NP
101,101,3469943.305,3551053.243,NS
102,102,3475738.445,3548281.838,NP
103,103,3481624.081,3544924.58,NS
104,104,3487509.716,3541567.322,NP
105,105,3418418.853,3569092.604,NS
106,106,3422018.61,3568763.876,NS
107,107,3425623.394,3568394.463,NS
108,108,3431001.243,3567486.393,NS
109,109,3437017.597,3566676.778,NS
110,110,3443481.406,3565632.822,NS
111,111,3448597.82,3564832.157,NS
112,112,3453239.965,3563998.132,NS
113,113,3456844.749,3563197.468,NS
114,114,3461024.355,3562418.773,NS
115,115,3465153.685,3560940.31,NS
116,116,3469251.173,3558902.847,NS
117,117,3475046.313,3556131.441,NS
118,118,3482100.026,3554438.98,NS
119,119,3487985.662,3551081.722,NS
120,120,3493770.746,3547957.992,NS
121,121,3498530.201,3545638.18,NS
122,122,3417632.873,3575842.921,NP
123,123,3421232.63,3575514.193,NS
124,124,3424832.386,3575185.465,NP
125,125,3430210.235,3574277.394,NS
126,126,3435588.084,3573369.323,NP
127,127,3442051.894,3572325.368,NS
128,128,3448515.703,3571281.412,NP
129,129,3453157.847,3570447.386,NS
130,130,3457799.992,3569613.361,NP
131,131,3461979.598,3568834.666,NS
132,132,3466159.203,3568055.971,NP
133,133,3470256.692,3566018.508,NS
134,134,3474354.181,3563981.045,NP
135,135,3481407.894,3562288.583,NS
136,136,3488461.607,3560596.122,NP
137,137,3494246.691,3557472.391,NS
138,138,3500031.776,3554348.661,NP
139,139,3504791.231,3552028.85,NS
140,140,3509550.686,3549709.038,NP
141,141,3416081.022,3582147.34,NS
142,142,3420329.339,3581811.288,NS
143,143,3423929.096,3581482.56,NS
144,144,3429543.241,3581147.323,NS
145,145,3434921.09,3580239.252,NS
146,146,3442470.86,3579824.274,NS
147,147,3448934.669,3578780.318,NS
148,148,3454146.607,3577936.528,NS
149,149,3458788.752,3577102.503,NS
150,150,3463072.261,3576880.367,NS
151,151,3467251.867,3576101.672,NS
152,152,3471915.798,3575150.476,NS
153,153,3476013.286,3573113.013,NS
154,154,3481788.315,3571527.958,NS
155,155,3488842.029,3569835.497,NS
156,156,3496607.984,3566474.984,NS
157,157,3502393.069,3563351.254,NS
158,158,3510626.59,3559888.217,NS
159,159,3515386.045,3557568.406,NS
160,160,3414529.172,3588451.758,NP
161,161,3418777.488,3588115.707,NS
162,162,3423025.805,3587779.656,NP
163,163,3428639.95,3587444.418,NS
164,164,3434254.096,3587109.181,NP
165,165,3441803.866,3586694.202,NS
166,166,3449353.635,3586279.224,NP
167,167,3454565.573,3585435.434,NS
168,168,3459777.512,3584591.645,NP
169,169,3464061.021,3584369.509,NS
170,170,3468344.531,3584147.373,NP
171,171,3473008.461,3583196.178,NS
172,172,3477672.392,3582244.982,NP
173,173,3483447.421,3580659.926,NS
174,174,3489222.45,3579074.871,NP
175,175,3496988.406,3575714.359,NS
176,176,3504754.361,3572353.847,NP
177,177,3512987.883,3568890.81,NS
178,178,3521221.405,3565427.774,NP
179,179,3530431.956,3565026.628,NS
180,180,3539642.507,3564625.482,NP
181,181,3552198.084,3563640.111,NS
182,182,3564753.66,3562654.741,NP
183,183,3576167.973,3563310.57,NS
184,184,3587582.285,3563966.398,NP
185,185,3405390.683,3592090.551,NS
186,186,3409605.482,3594844.869,NS
187,187,3414048.199,3596464.912,NS
188,188,3418068.598,3596691.93,NS
189,189,3422316.914,3596355.879,NS
190,190,3428293.047,3596036.915,NS
191,191,3433907.192,3595701.677,NS
192,192,3440409.546,3595273.68,NS
193,193,3447959.316,3594858.701,NS
194,194,3454396.311,3594042.577,NS
195,195,3459608.249,3593198.787,NS
196,196,3463266.661,3593198.787,NS
197,197,3467550.171,3592976.652,NS
198,198,3472820.765,3591249.202,NS
199,199,3477484.695,3590298.006,NS
200,200,3482842.434,3589377.73,NS
