Nro,Nodo,Coord_X,Coord_Y,Tipo_Nodos
1,1,198351.5,2164255,NP
2,2,198052.75,2166262.5,NS
3,3,197754,2168270,NP
4,4,200049.7031,2164679,NS
5,5,199750.9531,2166686.5,NS
6,6,198575.2969,2172129,NS
7,7,200110.2031,2168967.5,NS
8,8,201747.9063,2165103,NP
9,9,199396.5938,2175988,NP
10,10,202107.1563,2167384,NS
11,11,200931.5,2172826.5,NS
12,12,203576.75,2163408,NS
13,13,202890.9531,2166341.5,NS
14,14,205065,2158473,NP
15,15,205685.5469,2156781.5,NS
16,16,202466.4063,2169665,NP
17,17,206306.0938,2155090,NP
18,18,205235.2969,2160093,NS
19,19,203250.2031,2168622.5,NS
20,20,205405.5938,2161713,NP
21,21,204719.7969,2164646.5,NS
22,22,204034,2167580,NP
23,23,202708.0469,2173792,NS
24,24,206661.4531,2159239,NS
25,25,201921.2969,2176757.5,NS
26,26,207358.5,2157824.5,NS
27,27,204242.9531,2170630.5,NS
28,28,207979.0469,2156133,NS
29,29,206831.75,2160859,NS
30,30,205026.75,2169588,NS
31,31,207267.0938,2162039,NS
32,32,206581.2969,2164972.5,NS
33,33,206058.75,2168036,NS
34,34,208257.9063,2160005,NP
35,35,208954.9531,2158590.5,NS
36,36,209652,2157176,NP
37,37,206019.5,2171596,NP
38,38,208693.25,2161185,NS
39,39,205232.75,2174561.5,NS
40,40,207051.5,2170044,NS
41,41,204446,2177527,NP
42,42,209128.5938,2162365,NP
43,43,206448.3438,2172968.5,NS
44,44,208606.0469,2165428.5,NS
45,45,209803.5938,2161055,NS
46,46,205661.5938,2175934,NS
47,47,208083.5,2168492,NP
48,48,211301.6563,2156527,NS
49,49,206877.2031,2174341,NP
50,50,207532,2172547.5,NS
51,51,210860.2031,2159796.5,NS
52,52,210238.9375,2162235,NS
53,53,208063.9063,2170924,NS
54,54,211557.25,2158382,NS
55,55,209095.9063,2169372,NS
56,56,211349.2969,2162105,NP
57,57,212951.2969,2155878,NP
58,58,210696.1563,2164842,NS
59,59,210173.5938,2167905.5,NS
60,60,209044.5,2173499,NP
61,61,212405.9063,2160846.5,NS
62,62,209576.4063,2171875.5,NS
63,63,213206.9063,2157733,NS
64,64,210108.2969,2170252,NP
65,65,211806.5,2164712,NS
66,66,212824.0938,2161774,NS
67,67,213462.5,2159588,NP
68,68,211186,2168785.5,NS
69,69,214624.1875,2155947.5,NS
70,70,214206,2157709.5,NS
71,71,210557,2172186.5,NS
72,72,211088.9063,2170563,NS
73,73,213880.7031,2160515.5,NS
74,74,212263.7031,2167319,NP
75,75,214461.5938,2159564.5,NS
76,76,213281.3125,2164381,NS
77,77,212166.5938,2169096.5,NS
78,78,214298.9063,2161443,NP
79,79,211264.2969,2173546.5,NS
80,80,212069.5,2170874,NP
81,81,214879.8125,2160492,NS
82,82,216297.0938,2156017,NP
83,83,215878.9063,2157779,NS
84,84,215460.7031,2159541,NP
85,85,214027.25,2166960.5,NS
86,86,212776.7969,2172234,NS
87,87,213906,2167867,NS
88,88,215044.8438,2164022.5,NS
89,89,213808.9063,2169644.5,NS
90,90,217923.5469,2154950.5,NS
