Nro,NP1,NP2,NP3,NS1,NS2,NS3,Num_Mat,Esp_Cota,Grupo_Rec,K_GH
1,1,8,3,4,5,2,1,1900,1,40
2,8,16,3,10,7,5,1,1900,1,40
3,3,16,9,7,11,6,1,1900,1,40
4,8,20,22,12,21,13,1,1900,1,40
5,8,22,16,13,19,10,1,1900,1,40
6,16,37,9,27,23,11,1,1900,1,40
7,16,22,37,19,30,27,1,1900,1,40
8,14,17,36,15,28,26,2,1900,1,40
9,14,34,20,24,29,18,2,1900,1,40
10,14,36,34,26,35,24,2,1900,1,40
11,20,42,22,31,32,21,1,1900,1,40
12,9,37,41,23,39,25,1,1900,1,40
13,20,34,42,29,38,31,2,1900,1,40
14,22,47,37,33,40,30,1,1900,1,40
15,22,42,47,32,44,33,1,1900,1,40
16,34,56,42,45,52,38,2,1900,1,40
17,37,49,41,43,46,39,1,1900,1,40
18,34,36,67,35,54,51,2,1900,1,40
19,37,47,64,40,55,53,6,1900,6,40
20,37,64,60,53,62,50,6,1900,6,40
21,34,67,56,51,61,45,2,1900,1,40
22,42,74,47,58,59,44,6,1900,6,40
23,36,57,67,48,63,54,2,1900,1,40
24,47,74,64,59,68,55,6,1900,6,40
25,42,56,74,52,65,58,6,1900,6,40
26,57,84,67,70,75,63,2,1900,1,40
27,64,80,60,72,71,62,6,1900,6,40
28,67,78,56,73,66,61,2,1900,1,40
29,56,78,74,66,76,65,6,1900,6,40
30,74,80,64,77,72,68,6,1900,6,40
31,57,82,84,69,83,70,2,1900,1,40
32,67,84,78,75,81,73,2,1900,1,40
33,60,80,91,71,86,79,6,1900,6,40
34,78,94,74,88,85,76,10,1900,6,40
35,74,96,80,87,89,77,9,1900,6,40
36,80,96,91,89,92,86,9,1900,6,40
37,74,94,96,85,95,87,10,1900,6,40
38,84,109,78,97,93,81,10,1900,1,40
39,82,119,84,99,100,83,2,1900,1,40
40,78,109,94,93,101,88,10,1900,6,40
41,82,98,119,90,108,99,2,1900,1,40
42,94,112,96,103,104,95,12,1900,8,40
43,96,118,91,106,105,92,9,1900,6,40
44,94,109,112,101,111,103,12,1900,8,40
45,84,119,109,100,115,97,10,1900,1,40
46,98,107,119,102,114,108,2,1900,1,40
47,96,112,118,104,116,106,9,1900,6,40
48,110,118,127,113,121,117,1,1900,5,40
49,109,134,112,120,124,111,12,1900,8,40
50,107,137,119,123,129,114,3,1900,2,40
51,109,119,142,115,130,126,10,1900,1,40
52,112,131,118,122,125,116,9,1900,5,40
53,112,134,131,124,132,122,12,1900,8,40
54,118,149,127,133,135,121,9,1900,5,40
55,131,149,118,138,133,125,9,1900,5,40
56,109,147,134,128,141,120,12,1900,8,40
57,109,142,147,126,145,128,12,1900,8,40
58,134,151,131,143,140,132,12,1900,8,40
59,119,137,164,129,148,136,3,1900,2,40
60,119,164,142,136,152,130,10,1900,2,40
61,134,147,159,141,154,144,11,1900,7,40
62,127,149,161,135,156,139,9,1900,5,40
63,131,151,149,140,150,138,12,1900,8,40
64,142,157,147,146,153,145,12,1900,8,40
65,134,159,151,144,155,143,11,1900,7,40
66,142,164,157,152,160,146,10,1900,3,40
67,149,151,175,150,165,163,12,1900,8,40
68,137,176,164,158,169,148,3,1900,2,40
69,149,175,161,163,168,156,9,1900,5,40
70,151,159,171,155,166,162,11,1900,7,40
71,147,198,159,173,179,154,10,1900,3,40
72,151,171,183,162,177,167,11,1900,7,40
73,164,184,157,172,170,160,10,1900,3,40
74,147,157,198,153,178,173,10,1900,3,40
75,151,183,175,167,180,165,12,1900,8,40
76,159,198,171,179,186,166,10,1900,3,40
77,175,187,161,181,174,168,9,1900,5,40
78,164,199,184,182,191,172,3,1900,3,40
79,157,184,198,170,190,178,10,1900,3,40
80,176,199,164,188,182,169,3,1900,3,40
81,171,194,183,185,189,177,11,1900,7,40
82,171,198,194,186,196,185,11,1900,7,40
83,187,220,161,206,192,174,8,1900,5,40
84,183,210,175,197,193,180,12,1900,8,40
85,175,210,187,193,200,181,12,1900,8,40
86,184,207,198,195,201,190,7,1900,3,40
87,184,199,207,191,202,195,3,1900,3,40
88,183,194,210,189,204,197,12,1900,8,40
89,198,209,194,205,203,196,11,1900,7,40
90,187,210,220,200,214,206,8,1900,5,40
91,194,216,210,208,213,204,12,1900,8,40
92,194,209,216,203,212,208,11,1900,7,40
93,198,226,209,211,218,205,7,1900,3,40
94,207,226,198,215,211,201,7,1900,3,40
95,199,235,207,219,222,202,3,1900,3,40
96,216,223,210,221,217,213,12,1900,8,40
97,209,236,216,224,227,212,7,1900,4,40
98,209,226,236,218,230,224,7,1900,3,40
99,210,247,220,231,234,214,8,1900,4,40
100,207,235,242,222,240,225,3,1900,3,40
101,207,242,226,225,233,215,4,1900,3,40
102,216,238,223,228,229,221,8,1900,4,40
103,216,236,238,227,237,228,7,1900,4,40
104,210,223,247,217,239,231,8,1900,4,40
105,220,247,244,234,245,232,5,1900,4,40
106,223,238,247,229,243,239,8,1900,4,40
107,242,251,226,246,241,233,4,1900,3,40
108,226,261,236,248,254,230,4,1900,3,40
109,236,261,238,254,255,237,4,1900,4,40
110,244,247,253,245,250,249,5,1900,4,40
111,226,251,261,241,259,248,4,1900,3,40
112,238,260,247,252,257,243,5,1900,4,40
113,247,260,253,257,258,250,5,1900,4,40
114,238,265,260,263,262,252,5,1900,4,40
115,238,261,267,255,264,256,4,1900,4,40
116,238,267,265,256,266,263,5,1900,4,40
