Nro,NP1,NP2,NP3,NS1,NS2,NS3,Num_Mat,Esp_Cota,Grupo_Re,K_GH
1,1,3,15,2,8,9,1,10,1,40
2,3,17,15,10,16,9,1,10,1,40
3,3,19,17,11,18,10,1,10,1,40
4,3,5,19,4,12,11,1,10,1,40
5,5,21,19,13,20,12,1,10,1,40
6,5,7,21,6,14,13,1,10,1,40
7,15,32,30,23,31,22,1,10,1,40
8,15,17,32,16,24,23,1,10,1,40
9,17,35,32,34,33,24,1,10,1,40
10,17,38,35,25,36,34,1,10,1,40
11,35,38,40,36,39,37,1,10,1,40
12,17,19,38,18,26,25,1,10,1,40
13,38,43,40,42,41,39,1,10,1,40
14,19,43,38,27,42,26,1,10,1,40
15,19,21,43,20,28,27,1,10,1,40
16,21,45,43,29,44,28,1,10,1,40
17,30,63,61,47,62,46,1,10,1,40
18,30,32,63,31,48,47,1,10,1,40
19,32,65,63,49,64,48,1,10,1,40
20,32,35,65,33,50,49,1,10,1,40
21,35,67,65,51,66,50,1,10,1,40
22,35,40,67,37,52,51,1,10,1,40
23,40,43,67,41,53,52,1,10,1,40
24,43,56,67,55,54,53,1,10,1,40
25,56,69,67,57,68,54,1,10,1,40
26,43,45,56,44,58,55,1,10,1,40
27,56,71,69,59,70,57,1,10,1,40
28,45,71,56,60,59,58,1,10,1,40
29,91,93,113,92,105,104,1,10,1,40
30,61,93,91,73,92,72,1,10,1,40
31,63,98,61,75,74,62,1,10,1,40
32,61,98,93,74,94,73,1,10,1,40
33,97,93,98,95,94,96,1,10,1,40
34,63,65,98,64,76,75,1,10,1,40
35,65,97,98,77,96,76,1,10,1,40
36,65,67,97,66,78,77,1,10,1,40
37,67,99,97,79,108,78,1,10,1,40
38,67,69,99,68,80,79,1,10,1,40
39,69,101,99,81,100,80,1,10,1,40
40,69,84,101,82,83,81,1,10,1,40
41,69,71,84,70,86,82,1,10,1,40
42,84,87,101,85,89,83,1,10,1,40
43,71,87,84,88,85,86,1,10,1,40
44,87,103,101,90,102,89,1,10,1,40
45,93,120,113,114,117,105,1,10,1,40
46,93,115,120,106,118,114,1,10,1,40
47,115,122,120,129,121,118,1,10,1,40
48,97,115,93,107,106,95,1,10,1,40
49,97,99,115,108,119,107,1,10,1,40
50,99,122,115,116,129,119,1,10,1,40
51,99,124,122,109,123,116,1,10,1,40
52,99,101,124,100,110,109,1,10,1,40
53,101,126,124,111,125,110,1,10,1,40
54,101,103,126,102,112,111,1,10,1,40
55,120,122,133,121,128,127,1,10,1,40
56,122,135,133,130,134,128,1,10,1,40
57,122,124,135,123,131,130,1,10,1,40
58,124,126,135,125,132,131,1,10,1,40
